dimension,threshold,nonuniformity,basis_angle,color,visibility,fidelity,main_lower_bound,nu1_lower_bound,hjw_upper_bound,lower_upper_gap,state_rank,reconstruction_residual
4,3,0.2,0.25,0.45,0.6,0.6779240550777843,0.006802454372955582,0.00022086853778520841,0.07687063427393664,0.07006817990098106,4,1.8384273648319054e-15
4,3,0.2,0.25,0.45,0.7,0.7469985288492872,0.02506884387793849,0.0045526677804168395,0.11783906485691574,0.09277022097897725,4,6.335368281708926e-16
4,3,0.2,0.25,0.45,0.8,0.8160730026207902,0.0578117615738943,0.01455906622557875,0.17483252436186114,0.11702076278796683,4,6.307990771050304e-16
4,3,0.2,0.25,0.45,0.9,0.8851474763922929,0.11140980858851816,0.030602829380101663,0.26228177870648095,0.15087197011796277,4,3.827529417003065e-16
4,3,0.2,0.25,0.45,0.95,0.9196847132780444,0.1507303793332303,0.04107724888030256,0.3290083642277476,0.1782779848945173,4,8.351044125266383e-16
