mixture_probability,reference_fidelity,concurrence,exact_E2,reference_bound,relative_tightness,maximally_entangled_fidelity,maximally_entangled_bound
0.4,0.8572751340309451,0.8601536144949945,0.24498247144990387,0.11623379073516872,0.47445758076996625,0.8504460460416249,0.14336633808094987
0.6,0.9048500893539634,0.8694045284197959,0.25294951631136586,0.1675638973886473,0.6624400782897172,0.8994619368788532,0.19928391964346986
0.8,0.9524250446769817,0.9161019694261673,0.29952732005738436,0.2429593294412311,0.8111424673872294,0.9484778277160815,0.2789397411404195
0.9,0.976212522338491,0.9519448937607244,0.34686532133210074,0.30075613325125694,0.867068901832659,0.9729857731346958,0.337875176446745
