dimension,threshold,head_weight,fidelity,analytic_value,numerical_value,absolute_gap,constraint_residual,successful_starts
3,2,0.64380996018326,0.839714482082467,0.05092295592953381,0.05092295592934976,1.8404722190723533e-13,4.118927421359331e-13,10
3,3,0.8707894652760344,0.9418552593742155,0.015335525834579387,0.01533552583433597,2.4341813287254155e-13,5.133671265866724e-13,10
3,3,0.9646963966372661,0.9841133784867697,0.00391835780168263,0.003918357801450693,2.3193686554678905e-13,4.987121826616203e-13,10
4,2,0.35310429820405825,0.7088969341918263,0.12714837792595954,0.1271483779256661,2.9343194540842887e-13,8.091305403468141e-13,10
4,3,0.6894640138874826,0.8602588062493672,0.04262564400265531,0.042625644002405795,2.495156858906e-13,6.123990203832363e-13,10
4,4,0.9961181174637848,0.9982531528587031,0.0004217360744632113,0.00042173607406488707,3.983242229978201e-13,8.211209490127658e-13,10
