dimension,threshold,nonuniformity,basis_angle,color,visibility,fidelity,main_lower_bound,nu1_lower_bound,hjw_upper_bound,lower_upper_gap,state_rank,reconstruction_residual
3,3,0.2,0.25,0.45,0.9,0.8890384756045073,0.04184771897159296,0.006025253463421407,0.12178312192250937,0.07993540295091642,3,1.5368818055950474e-15
3,3,0.6,0.25,0.45,0.9,0.847154140042618,0.00018666487512649253,0.0,0.12178312192250937,0.12159645704738288,3,1.5368818055950474e-15
3,3,1.0,0.25,0.45,0.9,0.7786384866646858,0.0,0.0,0.12178312192250937,0.12178312192250937,3,1.5368818055950474e-15
4,3,0.2,0.25,0.45,0.9,0.8851474763922929,0.11140980858851816,0.030602829380101663,0.26228177870648095,0.15087197011796277,4,3.827529417003065e-16
4,3,0.6,0.25,0.45,0.9,0.8102143474132575,0.002616781345345366,0.0,0.26228177870648095,0.2596649973611356,4,3.827529417003065e-16
4,3,1.0,0.25,0.45,0.9,0.702513248754277,0.0,0.0,0.26228177870648095,0.26228177870648095,4,3.827529417003065e-16
5,3,0.2,0.25,0.45,0.9,0.8796250498172304,0.1585439724929591,0.04558417994141543,0.34914867177684483,0.19060469928388574,5,3.5049586858442823e-16
5,3,0.6,0.25,0.45,0.9,0.7682514504484929,0.0014449949399063112,0.0,0.34914867177684483,0.34770367683693854,5,3.5049586858442823e-16
5,3,1.0,0.25,0.45,0.9,0.6287347953044865,0.0,0.0,0.34914867177684483,0.34914867177684483,5,3.5049586858442823e-16
