s lambda f_ref adapted2 nu12 gap2 adapted3 nu13 gap3 adapted4 nu14 gap4
0.000000000000 1.000000000000 0.980000000000 0.618756443470 0.618756443470 0.000000000000 0.360000000000 0.360000000000 0.000000000000 0.138756443470 0.138756443470 0.000000000000
0.001666666667 0.999996527756 0.979996601831 0.617343246492 0.602671548665 0.014671697827 0.358389138831 0.344243657093 0.014145481738 0.137750825727 0.127550551819 0.010200273908
0.003333333333 0.999986110764 0.979986407068 0.615907768288 0.588087299564 0.027820468723 0.356756606875 0.330196105715 0.026560501160 0.136729938587 0.117803728210 0.018926210377
0.005000000000 0.999968748242 0.979969414946 0.614449968164 0.574657141114 0.039792827051 0.355102490806 0.317457533744 0.037644957062 0.135693957229 0.109170032793 0.026523924436
0.006666666667 0.999944438888 0.979945624191 0.612969816122 0.562153711774 0.050816104348 0.353426889737 0.305765755202 0.047661134535 0.134643067768 0.101422707665 0.033220360103
0.008333333333 0.999913180877 0.979915033018 0.611467292857 0.550418009038 0.061049283819 0.351729915151 0.294937511803 0.056792403348 0.133577467137 0.094403342679 0.039174124458
0.010000000000 0.999874971862 0.979877639129 0.609942389748 0.539333476964 0.070608912784 0.350011690814 0.284838551986 0.065173138828 0.132497362943 0.087995963246 0.044501399696
0.011666666667 0.999829808973 0.979833439715 0.608395108814 0.528811525119 0.079583583696 0.348272352652 0.275366909774 0.072905442878 0.131402973296 0.082112549549 0.049290423748
0.013333333333 0.999777688816 0.979782431455 0.606825462649 0.518782855524 0.088042607125 0.346512048602 0.266442890147 0.080069158456 0.130294526627 0.076684363741 0.053610162886
0.015000000000 0.999718607469 0.979724610510 0.605233474329 0.509191978738 0.096041495591 0.344730938446 0.258002736905 0.086728201541 0.129172261471 0.071656466289 0.057515795182
0.016666666667 0.999652560485 0.979659972528 0.603619177300 0.499993591579 0.103625585721 0.342929193605 0.249994450165 0.092934743440 0.128036426242 0.066984093933 0.061052332309
